0;-0.870000;11;13.145000;100
1;-0.740000;8;7.616000;100
2;-0.870000;11;7.569000;100
3;-2.310000;15;8.379001;100
4;-2.310000;15;8.025000;100
5;-0.870000;11;7.301000;100
6;-2.310000;15;8.116000;100
7;-0.740000;8;6.892000;100
8;-0.740000;8;6.852000;100
9;-0.740000;8;6.845000;100
10;-2.310000;15;8.208000;100
11;-2.310000;15;7.520000;100
12;-2.310000;15;6.675000;100
13;-0.870000;11;5.781000;100
14;-2.310000;15;6.482000;100
15;-0.740000;8;5.742000;100
16;-2.310000;15;6.417000;100
17;-0.870000;11;6.068000;100
18;-0.870000;11;6.020000;100
19;-2.310000;15;6.489000;100
