0;0,835000;11;29,573000;100
1;0,835000;11;2,631000;100
2;0,835000;11;1,942000;100
3;0,775000;15;2,488000;100
4;0,835000;11;1,746000;100
5;0,850000;10;1,953000;100
6;0,835000;11;1,987000;100
7;0,850000;10;1,778000;100
8;0,850000;10;1,720000;100
9;0,835000;11;1,894000;100
10;0,850000;10;1,977000;100
11;0,775000;15;2,823000;100
12;0,775000;15;2,379000;100
13;0,850000;10;1,640000;100
14;0,775000;15;2,223000;100
15;0,835000;11;1,793000;100
16;0,835000;11;1,866000;100
17;0,835000;11;1,875000;100
18;0,850000;10;1,756000;100
19;0,775000;15;2,604000;100
